petri,trt,total aphids,alates,top,bottom
2,control,26,0,6,20
3,control,28,0,23,5
4,control,15,1,2,13
6,control,6,0,2,4
7,control,12,0,2,10
12,control,19,0,13,6
18,control,28,0,6,22
21,control,27,0,17,10
22,control,49,0,30,19
24,control,23,0,5,8
25,control,17,0,11,6
28,control,18,0,17,1
32,control,14,0,14,0
33,control,29,0,26,3
34,control,13,1,7,6
35,control,9,0,7,2
37,control,39,1,6,33
39,control,12,0,6,6
40,control,26,0,18,8
1,predator,9,1,6,3
5,predator,16,0,15,1
9,predator,3,2,1,3
10,predator,8,0,3,5
11,predator,20,0,12,8
13,predator,16,0,7,9
14,predator,20,0,5,15
15,predator,33,0,18,15
16,predator,9,0,8,1
17,predator,22,1,3,19
19,predator,9,2,2,7
20,predator,14,1,11,3
23,predator,30,0,20,10
26,predator,23,0,2,21
27,predator,13,3,1,12
29,predator,32,2,4,28
30,predator,26,1,16,10
31,predator,21,2,9,12
36,predator,26,0,10,16
38,predator,5,0,1,4
