rep,trt,nymphs,size
1,Control,7,large
2,Control,8,large
3,Control,15,large
4,Control,9,large
5,Control,6,large
6,Control,7,large
7,Control,12,large
8,Control,7,large
9,Control,4,large
10,Control,8,large
11,Control,8,large
12,Control,4,large
13,Control,8,large
14,Control,8,large
15,Control,6,large
16,Control,7,large
17,Control,2,large
18,Control,8,large
19,Control,8,large
20,Control,9,large
21,Control,7,large
23,Control,8,large
24,Control,8,large
28,Control,9,small
29,Control,8,small
30,Control,7,small
31,Control,8,small
32,Control,7,small
33,Control,6,small
34,Control,4,small
35,Control,10,small
36,Control,8,small
37,Control,9,small
38,Control,8,small
39,Control,8,small
40,Control,9,small
42,Control,7,small
43,Control,10,small
44,Control,7,small
45,Control,5,small
46,Control,8,small
47,Control,5,small
48,Control,5,small
49,Control,7,small
50,Control,10,small
51,Control,7,small
52,Control,12,small
53,Control,10,small
54,Control,7,small
55,Control,7,small
57,Control,8,small
2,Predator,3,large
3,Predator,4,large
7,Predator,6,large
8,Predator,8,large
9,Predator,1,large
10,Predator,5,large
11,Predator,7,large
12,Predator,7,large
13,Predator,4,large
14,Predator,2,large
16,Predator,4,large
17,Predator,8,large
18,Predator,8,large
19,Predator,5,large
20,Predator,3,large
21,Predator,13,large
22,Predator,4,large
23,Predator,8,large
24,Predator,5,large
25,Predator,7,large
26,Predator,4,large
27,Predator,5,large
28,Predator,3,large
29,Predator,7,large
30,Predator,7,large
31,Predator,8,large
33,Predator,5,small
34,Predator,5,small
35,Predator,4,small
36,Predator,8,small
37,Predator,6,small
38,Predator,9,small
39,Predator,7,small
42,Predator,4,small
43,Predator,5,small
44,Predator,4,small
45,Predator,5,small
46,Predator,7,small
47,Predator,7,small
48,Predator,7,small
49,Predator,7,small
50,Predator,3,small
51,Predator,4,small
52,Predator,6,small
54,Predator,10,small
55,Predator,11,small
56,Predator,7,small
58,Predator,3,small
59,Predator,6,small
60,Predator,8,small
61,Predator,6,small
,,,
,,,
,,,
,,,
,,,
,,,
4,Predator,19,large
